,_id,Data Extract Date,Overdose Death Year,Overdose Death Drug Class,Overdose Death Geography Level,Overdose Death FIPS,Overdose Death Geography Name,Overdose Death Health District,Overdose Death Count,"Overdose Death Rate per 100,000 Residents",County,Latitude,Longitude
23,24,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51097,King and Queen County,Three Rivers,0,0,King and Queen County,37.7196754,-76.8794158
24,25,6/2/2025,2024^,Psychostimulant,Locality,51027,Buchanan County,Cumberland Plateau,5,24.3,Buchanan County,37.2600448,-82.0320334
25,26,6/2/2025,2022,Benzodiazepine,Locality,51197,Wythe County,Mount Rogers,0,0,Wythe County,36.9118401,-81.0639347
26,27,6/2/2025,2023,Fentanyl and Other Synthetic Opioids,Locality,51650,Hampton City,Hampton,39,28.8,Hampton City,37.0264414,-76.3442846
27,28,6/2/2025,2023,Methadone,Locality,51193,Westmoreland County,Three Rivers,1,5.5,Westmoreland County,38.1153203,-76.7567355
28,29,6/2/2025,2020,Psychostimulant,Locality,51009,Amherst County,Central Virginia,4,12.6,Amherst County,37.5997548,-79.1483701
29,30,6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51800,Suffolk City,Western Tidewater,31,33,Suffolk City,36.7280842,-76.581348
30,31,6/2/2025,2023,Any Opioids,Locality,51183,Sussex County,Crater,3,27.5,Sussex County,36.9096897,-77.2741121
31,32,6/2/2025,2020,Natural and Semi-Synthetic Opioids,Locality,51181,Surry County,Crater,0,0,Surry County,37.1118778,-76.895924
32,33,6/2/2025,2021,Heroin,Locality,51127,New Kent County,Chickahominy,3,12.7,New Kent County,37.4974701,-76.9990453
33,34,6/2/2025,2019,Cocaine,Locality,51063,Floyd County,New River,0,0,Floyd County,36.9157056,-80.3876889
34,35,6/2/2025,2020,Psychostimulant,Locality,51003,Albemarle County,Blue Ridge,3,2.7,Albemarle County,38.0085107,-78.6086754
35,36,6/2/2025,2019,All-Drug,Locality,51595,Emporia City,Crater,0,0,Emporia City,36.6937606,-77.5357141
36,37,6/2/2025,2020,Benzodiazepine,Locality,51011,Appomattox County,Central Virginia,1,6.2,Appomattox County,37.379893,-78.7944052
37,38,6/2/2025,2025†,Heroin,Locality,51660,Harrisonburg City,Central Shenandoah,0,0,Harrisonburg City,38.4459647,-78.8698623
38,39,6/2/2025,2023,Fentanyl and Other Synthetic Opioids,Locality,51017,Bath County,Central Shenandoah,3,72.8,Bath County,38.0557255,-79.7350017
39,40,6/2/2025,2021,Any Opioids,Locality,51059,Fairfax County,Fairfax,107,9.3,Fairfax County,38.8156356,-77.2836849
40,41,6/2/2025,2024^,Methadone,Locality,51740,Portsmouth City,Portsmouth,4,4.2,Portsmouth City,36.8313802,-76.3700611
41,42,6/2/2025,2021,Cocaine,Locality,51009,Amherst County,Central Virginia,0,0,Amherst County,37.5997548,-79.1483701
42,43,6/2/2025,2023,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51067,Franklin County,West Piedmont,4,7.1,Franklin County,37.0527719,-79.8813093
43,44,6/2/2025,2020,All-Drug,Locality,51760,Richmond City,Richmond City,146,62.9,Richmond City,37.5433591,-77.4353135
44,45,6/2/2025,2024^,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51167,Russell County,Cumberland Plateau,1,3.8,Russell County,36.9251814,-82.1147841
45,46,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51057,Essex County,Three Rivers,0,0,Essex County,37.9140592,-76.9326385
46,47,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51670,Hopewell City,Crater,4,17.9,Hopewell City,37.3103824,-77.2977788
47,48,6/2/2025,2024^,Heroin,Locality,51113,Madison County,Rappahannock/Rapidan,0,0,Madison County,38.4114615,-78.2846634
48,49,6/2/2025,2021,Cocaine,Locality,51003,Albemarle County,Blue Ridge,4,3.6,Albemarle County,38.0085107,-78.6086754
49,50,6/2/2025,2022,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51165,Rockingham County,Central Shenandoah,10,12.1,Rockingham County,38.5080288,-78.8949442
50,51,6/2/2025,2020,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51107,Loudoun County,Loudoun,6,1.4,Loudoun County,39.0984586,-77.6705008
51,52,6/2/2025,2025†,Cocaine,Locality,51033,Caroline County,Rappahannock,0,0,Caroline County,38.0320305,-77.362363
52,53,6/2/2025,2021,Cocaine,Locality,51580,Covington City,Alleghany,0,0,Covington City,37.7901662,-80.0002853
53,54,6/2/2025,2023,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51171,Shenandoah County,Lord Fairfax,7,15.9,Shenandoah County,38.856559,-78.5890893
54,55,6/2/2025,2020,Natural and Semi-Synthetic Opioids,Locality,51183,Sussex County,Crater,0,0,Sussex County,36.9096897,-77.2741121
55,56,6/2/2025,2022,Heroin,Locality,51017,Bath County,Central Shenandoah,0,0,Bath County,38.0557255,-79.7350017
56,57,6/2/2025,2019,Fentanyl and Other Synthetic Opioids,Locality,51027,Buchanan County,Cumberland Plateau,0,0,Buchanan County,37.2600448,-82.0320334
57,58,6/2/2025,2020,Methadone,Locality,51079,Greene County,Blue Ridge,0,0,Greene County,38.2954503,-78.4704823
58,59,6/2/2025,2023,Any Opioids,Locality,51181,Surry County,Crater,1,15.7,Surry County,37.1118778,-76.895924
59,60,6/2/2025,2023,All-Drug,Locality,51115,Mathews County,Three Rivers,0,0,Mathews County,37.4481394,-76.331696
60,61,6/2/2025,2020,Cocaine,Locality,51111,Lunenburg County,Piedmont,0,0,Lunenburg County,36.9445279,-78.2562001
61,62,6/2/2025,2023,Psychostimulant,Locality,51103,Lancaster County,Three Rivers,0,0,Lancaster County,37.7625738,-76.4723233
62,63,6/2/2025,2019,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51171,Shenandoah County,Lord Fairfax,4,9.2,Shenandoah County,38.856559,-78.5890893
63,64,6/2/2025,2022,Fentanyl and Other Synthetic Opioids,Locality,51089,Henry County,West Piedmont,34,67.6,Henry County,36.6725813,-79.9242922
64,65,6/2/2025,2024^,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51007,Amelia County,Piedmont,4,30.7,Amelia County,37.3319664,-78.008448
65,66,6/2/2025,2023,Methadone,Locality,51041,Chesterfield County,Chesterfield,5,1.4,Chesterfield County,37.3859982,-77.578509
66,67,6/2/2025,2020,Methadone,Locality,51840,Winchester City,Lord Fairfax,1,3.6,Winchester City,39.0789377,-78.2153455
67,68,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51155,Pulaski County,New River,5,14.7,Pulaski County,37.0580572,-80.7297289
68,69,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51999,Unknown,Unknown,0,,Unknown,38.9078952,-77.2578458
69,70,6/2/2025,2025†,Fentanyl and Other Synthetic Opioids,Locality,51113,Madison County,Rappahannock/Rapidan,0,0,Madison County,38.4114615,-78.2846634
70,71,6/2/2025,2020,Cocaine,Locality,51640,Galax City,Mount Rogers,0,0,Galax City,36.6576261,-80.9231529
71,72,6/2/2025,2019,Any Opioids,Locality,51077,Grayson County,Mount Rogers,1,6.4,Grayson County,36.6512208,-81.2114025
72,73,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51550,Chesapeake City,Chesapeake,8,3.2,Chesapeake City,36.7503719,-76.22858
73,74,6/2/2025,2023,Natural and Semi-Synthetic Opioids,Locality,51680,Lynchburg City,Central Virginia,2,2.5,Lynchburg City,37.4137536,-79.1422464
74,75,6/2/2025,2022,Cocaine,Locality,51830,Williamsburg City,Peninsula,1,6.6,Williamsburg City,37.2752185,-76.7086408
75,76,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51720,Norton City,Lenowisco,0,0,Norton City,36.9332591,-82.6352237
76,77,6/2/2025,2023,Natural and Semi-Synthetic Opioids,Locality,51137,Orange County,Rappahannock/Rapidan,1,2.7,Orange County,38.2490349,-78.013983
77,78,6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51111,Lunenburg County,Piedmont,2,16.3,Lunenburg County,36.9445279,-78.2562001
78,79,6/2/2025,2025†,All-Drug,Locality,51019,Bedford County,Central Virginia,*,*,Bedford County,37.3123905,-79.5399003
79,80,6/2/2025,2025†,Natural and Semi-Synthetic Opioids,Locality,51595,Emporia City,Crater,0,0,Emporia City,36.6937606,-77.5357141
80,81,6/2/2025,2019,Methadone,Locality,51165,Rockingham County,Central Shenandoah,0,0,Rockingham County,38.5080288,-78.8949442
81,82,6/2/2025,2019,Any Opioids,Locality,51017,Bath County,Central Shenandoah,0,0,Bath County,38.0557255,-79.7350017
82,83,6/2/2025,2019,Methadone,Locality,51043,Clarke County,Lord Fairfax,2,13.7,Clarke County,39.119728,-77.9926448
83,84,6/2/2025,2022,Psychostimulant,Locality,51135,Nottoway County,Piedmont,4,26.4,Nottoway County,37.1489448,-78.0583926
84,85,6/2/2025,2020,All-Drug,Locality,51027,Buchanan County,Cumberland Plateau,4,19.4,Buchanan County,37.2600448,-82.0320334
85,86,6/2/2025,2023,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51685,Manassas Park City,Prince William,2,11.1,Manassas Park City,38.7662308,-77.441908
86,87,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51187,Warren County,Lord Fairfax,1,2.5,Warren County,38.9131907,-78.2096656
87,88,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51199,York County,Peninsula,1,1.5,York County,37.2230374,-76.5156945
88,89,6/2/2025,2022,All-Drug,Locality,51830,Williamsburg City,Peninsula,3,19.7,Williamsburg City,37.2752185,-76.7086408
89,90,6/2/2025,2020,Cocaine,Locality,51027,Buchanan County,Cumberland Plateau,0,0,Buchanan County,37.2600448,-82.0320334
90,91,6/2/2025,2019,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51685,Manassas Park City,Prince William,1,5.7,Manassas Park City,38.7662308,-77.441908
91,92,6/2/2025,2020,Methadone,Locality,51029,Buckingham County,Piedmont,0,0,Buckingham County,37.5558826,-78.5547172
92,93,6/2/2025,2024^,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51630,Fredericksburg City,Rappahannock,0,0,Fredericksburg City,38.3016119,-77.4666482
93,94,6/2/2025,2019,Methadone,Locality,51013,Arlington County,Arlington,1,0.4,Arlington County,38.8769326,-77.0893094
94,95,6/2/2025,2019,Benzodiazepine,Locality,51075,Goochland County,Chickahominy,0,0,Goochland County,37.7204342,-77.8837984
95,96,6/2/2025,2022,Benzodiazepine,Locality,51710,Norfolk City,Norfolk City,8,3.3,Norfolk City,36.8585511,-76.3047394
96,97,6/2/2025,2021,Methadone,Locality,51071,Giles County,New River,0,0,Giles County,37.3088528,-80.7098781
97,98,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51750,Radford City,New River,0,0,Radford City,37.130445,-80.5793077
98,99,6/2/2025,2022,Cocaine,Locality,51595,Emporia City,Crater,0,0,Emporia City,36.6937606,-77.5357141
99,100,6/2/2025,2025†,Benzodiazepine,Locality,51045,Craig County,Alleghany,0,0,Craig County,37.4760225,-80.1990826
100,101,6/2/2025,2020,Methadone,Locality,51683,Manassas City,Prince William,0,0,Manassas City,38.7615639,-77.6217121
101,102,6/2/2025,2019,Heroin,Locality,51087,Henrico County,Henrico,39,11.8,Henrico County,37.5131191,-77.3465081
102,103,6/2/2025,2024^,Heroin,Locality,51830,Williamsburg City,Peninsula,0,0,Williamsburg City,37.2752185,-76.7086408
103,104,6/2/2025,2025†,Benzodiazepine,Locality,51141,Patrick County,West Piedmont,0,0,Patrick County,36.6818706,-80.284636
104,105,6/2/2025,2019,Fentanyl and Other Synthetic Opioids,Locality,51191,Washington County,Mount Rogers,6,11.2,Washington County,36.740236,-81.9421666
105,106,6/2/2025,2022,Benzodiazepine,Locality,51091,Highland County,Central Shenandoah,0,0,Highland County,38.3841897,-79.5907978
106,107,6/2/2025,2020,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51049,Cumberland County,Piedmont,0,0,Cumberland County,37.5004191,-78.2469202
107,108,6/2/2025,2025†,Benzodiazepine,Locality,51069,Frederick County,Lord Fairfax,0,0,Frederick County,39.2127031,-78.279166
108,109,6/2/2025,2023,Heroin,Locality,51019,Bedford County,Central Virginia,2,2.5,Bedford County,37.3123905,-79.5399003
109,110,6/2/2025,2020,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51167,Russell County,Cumberland Plateau,1,3.8,Russell County,36.9251814,-82.1147841
110,111,6/2/2025,2019,Cocaine,Locality,51175,Southampton County,Western Tidewater,0,0,Southampton County,36.6959378,-77.1586002
111,112,6/2/2025,2019,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51093,Isle of Wight County,Western Tidewater,5,13.5,Isle of Wight County,36.8953677,-76.7248143
112,113,6/2/2025,2019,Cocaine,Locality,51700,Newport News City,Peninsula,12,6.7,Newport News City,37.0867976,-76.4715359
113,114,6/2/2025,2022,Benzodiazepine,Locality,51683,Manassas City,Prince William,0,0,Manassas City,38.7615639,-77.6217121
114,115,6/2/2025,2019,All-Drug,Locality,51081,Greensville County,Crater,1,8.8,Greensville County,36.6405713,-77.5768298
115,116,6/2/2025,2024^,Cocaine,Locality,51157,Rappahannock County,Rappahannock/Rapidan,0,0,Rappahannock County,38.6926326,-78.1495818
116,117,6/2/2025,2019,Cocaine,Locality,51107,Loudoun County,Loudoun,6,1.5,Loudoun County,39.0984586,-77.6705008
117,118,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51009,Amherst County,Central Virginia,0,0,Amherst County,37.5997548,-79.1483701
118,119,6/2/2025,2019,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51111,Lunenburg County,Piedmont,0,0,Lunenburg County,36.9445279,-78.2562001
119,120,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51003,Albemarle County,Blue Ridge,1,0.9,Albemarle County,38.0085107,-78.6086754
120,121,6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51081,Greensville County,Crater,3,26.6,Greensville County,36.6405713,-77.5768298
121,122,6/2/2025,2022,Heroin,Locality,51173,Smyth County,Mount Rogers,0,0,Smyth County,36.8440149,-81.5418453
122,123,6/2/2025,2023,Benzodiazepine,Locality,51071,Giles County,New River,0,0,Giles County,37.3088528,-80.7098781
123,124,6/2/2025,2025†,Benzodiazepine,Locality,51183,Sussex County,Crater,0,0,Sussex County,36.9096897,-77.2741121
124,125,6/2/2025,2024^,Any Opioids,Locality,51043,Clarke County,Lord Fairfax,0,0,Clarke County,39.119728,-77.9926448
125,126,6/2/2025,2021,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51035,Carroll County,Mount Rogers,1,3.3,Carroll County,36.7365816,-80.7439791
126,127,6/2/2025,2023,Cocaine,Locality,51091,Highland County,Central Shenandoah,0,0,Highland County,38.3841897,-79.5907978
127,128,6/2/2025,2021,All-Drug,Locality,51007,Amelia County,Piedmont,3,23.1,Amelia County,37.3319664,-78.008448
128,129,6/2/2025,2019,All-Drug,Locality,51700,Newport News City,Peninsula,39,21.8,Newport News City,37.0867976,-76.4715359
129,130,6/2/2025,2021,Cocaine,Locality,51057,Essex County,Three Rivers,1,9.1,Essex County,37.9140592,-76.9326385
130,131,6/2/2025,2021,Any Opioids,Locality,51610,Falls Church City,Fairfax,3,20.5,Falls Church City,38.880517,-77.1796109
131,132,6/2/2025,2020,Any Opioids,Locality,51177,Spotsylvania County,Rappahannock,52,37.6,Spotsylvania County,38.1880936,-77.6741751
132,133,6/2/2025,2021,Heroin,Locality,51185,Tazewell County,Cumberland Plateau,1,2.5,Tazewell County,37.1236041,-81.5684129
133,134,6/2/2025,2024^,Psychostimulant,Locality,51073,Gloucester County,Three Rivers,3,8,Gloucester County,37.4452288,-76.5594479
134,135,6/2/2025,2020,Methadone,Locality,51710,Norfolk City,Norfolk City,5,2.1,Norfolk City,36.8585511,-76.3047394
135,136,6/2/2025,2024^,Any Opioids,Locality,51013,Arlington County,Arlington,12,5,Arlington County,38.8769326,-77.0893094
136,137,6/2/2025,2023,All-Drug,Locality,51091,Highland County,Central Shenandoah,0,0,Highland County,38.3841897,-79.5907978
137,138,6/2/2025,2024^,Heroin,Locality,51037,Charlotte County,Piedmont,0,0,Charlotte County,37.0416273,-78.6523968
138,139,6/2/2025,2022,Any Opioids,Locality,51161,Roanoke County,Alleghany,22,23.3,Roanoke County,37.2377673,-80.0759642
139,140,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51790,Staunton City,Central Shenandoah,2,7.9,Staunton City,38.1608862,-79.0384442
140,141,6/2/2025,2025†,Methadone,Locality,51181,Surry County,Crater,0,0,Surry County,37.1118778,-76.895924
141,142,6/2/2025,2025†,All-Drug,Locality,51670,Hopewell City,Crater,0,0,Hopewell City,37.3103824,-77.2977788
142,143,6/2/2025,2023,Fentanyl and Other Synthetic Opioids,Locality,51175,Southampton County,Western Tidewater,1,5.7,Southampton County,36.6959378,-77.1586002
143,144,6/2/2025,2023,Benzodiazepine,Locality,51067,Franklin County,West Piedmont,1,1.8,Franklin County,37.0527719,-79.8813093
144,145,6/2/2025,2024^,Methadone,Locality,51630,Fredericksburg City,Rappahannock,0,0,Fredericksburg City,38.3016119,-77.4666482
145,146,6/2/2025,2021,Natural and Semi-Synthetic Opioids,Locality,51103,Lancaster County,Three Rivers,0,0,Lancaster County,37.7625738,-76.4723233
146,147,6/2/2025,2023,Any Opioids,Locality,51720,Norton City,Lenowisco,1,25.1,Norton City,36.9332591,-82.6352237
147,148,6/2/2025,2019,Methadone,Locality,51685,Manassas Park City,Prince William,0,0,Manassas Park City,38.7662308,-77.441908
148,149,6/2/2025,2025†,Psychostimulant,Locality,51059,Fairfax County,Fairfax,0,0,Fairfax County,38.8156356,-77.2836849
149,150,6/2/2025,2023,Any Opioids,Locality,51550,Chesapeake City,Chesapeake,64,25.9,Chesapeake City,36.7503719,-76.22858
150,151,6/2/2025,2022,Fentanyl and Other Synthetic Opioids,Locality,51073,Gloucester County,Three Rivers,12,32,Gloucester County,37.4452288,-76.5594479
151,152,6/2/2025,2024^,Heroin,Locality,51580,Covington City,Alleghany,0,0,Covington City,37.7901662,-80.0002853
152,153,6/2/2025,2021,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51183,Sussex County,Crater,3,27.5,Sussex County,36.9096897,-77.2741121
153,154,6/2/2025,2021,Natural and Semi-Synthetic Opioids,Locality,51061,Fauquier County,Rappahannock/Rapidan,0,0,Fauquier County,38.7513714,-77.8141221
154,155,6/2/2025,2020,Methadone,Locality,51163,Rockbridge County,Central Shenandoah,0,0,Rockbridge County,37.7776,-79.4308
155,156,6/2/2025,2025†,Natural and Semi-Synthetic Opioids,Locality,51007,Amelia County,Piedmont,0,0,Amelia County,37.3319664,-78.008448
156,157,6/2/2025,2020,Any Opioids,Locality,51093,Isle of Wight County,Western Tidewater,5,13.3,Isle of Wight County,36.8953677,-76.7248143
157,158,6/2/2025,2024^,All-Drug,Locality,51051,Dickenson County,Cumberland Plateau,8,56.8,Dickenson County,37.1226368,-82.359691
158,159,6/2/2025,2025†,Heroin,Locality,51640,Galax City,Mount Rogers,0,0,Galax City,36.6576261,-80.9231529
159,160,6/2/2025,2023,Psychostimulant,Locality,51187,Warren County,Lord Fairfax,3,7.4,Warren County,38.9131907,-78.2096656
160,161,6/2/2025,2023,Heroin,Locality,51121,Montgomery County,New River,2,2,Montgomery County,37.1750002,-80.3742979
161,162,6/2/2025,2025†,Psychostimulant,Locality,51700,Newport News City,Peninsula,0,0,Newport News City,37.0867976,-76.4715359
162,163,6/2/2025,2020,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51041,Chesterfield County,Chesterfield,18,5,Chesterfield County,37.3859982,-77.578509
163,164,6/2/2025,2022,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51115,Mathews County,Three Rivers,4,45.6,Mathews County,37.4481394,-76.331696
164,165,6/2/2025,2024^,Cocaine,Locality,51051,Dickenson County,Cumberland Plateau,0,0,Dickenson County,37.1226368,-82.359691
165,166,6/2/2025,2021,Benzodiazepine,Locality,51119,Middlesex County,Three Rivers,0,0,Middlesex County,37.6221412,-76.5904374
166,167,6/2/2025,2024^,Natural and Semi-Synthetic Opioids,Locality,51171,Shenandoah County,Lord Fairfax,3,6.8,Shenandoah County,38.856559,-78.5890893
167,168,6/2/2025,2025†,Any Opioids,Locality,51159,Richmond County,Three Rivers,0,0,Richmond County,37.9476108,-76.7161921
168,169,6/2/2025,2019,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51023,Botetourt County,Alleghany,1,3,Botetourt County,37.5520825,-79.8029569
169,170,6/2/2025,2023,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51650,Hampton City,Hampton,3,2.2,Hampton City,37.0264414,-76.3442846
170,171,6/2/2025,2020,Heroin,Locality,51033,Caroline County,Rappahannock,3,9.7,Caroline County,38.0320305,-77.362363
171,172,6/2/2025,2023,Psychostimulant,Locality,51011,Appomattox County,Central Virginia,1,6.2,Appomattox County,37.379893,-78.7944052
172,173,6/2/2025,2022,Psychostimulant,Locality,51680,Lynchburg City,Central Virginia,5,6.1,Lynchburg City,37.4137536,-79.1422464
173,174,6/2/2025,2019,Any Opioids,Locality,51670,Hopewell City,Crater,9,39.9,Hopewell City,37.3103824,-77.2977788
174,175,6/2/2025,2022,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51093,Isle of Wight County,Western Tidewater,12,31.8,Isle of Wight County,36.8953677,-76.7248143
175,176,6/2/2025,2022,Cocaine,Locality,51700,Newport News City,Peninsula,40,22.3,Newport News City,37.0867976,-76.4715359
176,177,6/2/2025,2023,Psychostimulant,Locality,51051,Dickenson County,Cumberland Plateau,2,14.2,Dickenson County,37.1226368,-82.359691
177,178,6/2/2025,2023,Benzodiazepine,Locality,51740,Portsmouth City,Portsmouth,1,1.1,Portsmouth City,36.8313802,-76.3700611
178,179,6/2/2025,2021,Psychostimulant,Locality,51600,Fairfax City,Fairfax,0,0,Fairfax City,38.847239,-77.3036133
179,180,6/2/2025,2024^,All-Drug,Locality,51011,Appomattox County,Central Virginia,2,12.5,Appomattox County,37.379893,-78.7944052
180,181,6/2/2025,2021,Any Opioids,Locality,51775,Salem City,Alleghany,6,23.7,Salem City,37.2919366,-80.0570773
181,182,6/2/2025,2024^,Cocaine,Locality,51011,Appomattox County,Central Virginia,0,0,Appomattox County,37.379893,-78.7944052
182,183,6/2/2025,2022,All-Drug,Locality,51700,Newport News City,Peninsula,69,38.5,Newport News City,37.0867976,-76.4715359
183,184,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51111,Lunenburg County,Piedmont,0,0,Lunenburg County,36.9445279,-78.2562001
184,185,6/2/2025,2025†,Psychostimulant,Locality,51089,Henry County,West Piedmont,0,0,Henry County,36.6725813,-79.9242922
185,186,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51009,Amherst County,Central Virginia,0,0,Amherst County,37.5997548,-79.1483701
186,187,6/2/2025,2022,All-Drug,Locality,51081,Greensville County,Crater,4,35.5,Greensville County,36.6405713,-77.5768298
187,188,6/2/2025,2025†,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51147,Prince Edward County,Piedmont,0,0,Prince Edward County,37.2293293,-78.4628573
188,189,6/2/2025,2024^,Fentanyl and Other Synthetic Opioids,Locality,51103,Lancaster County,Three Rivers,0,0,Lancaster County,37.7625738,-76.4723233
189,190,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51003,Albemarle County,Blue Ridge,0,0,Albemarle County,38.0085107,-78.6086754
190,191,6/2/2025,2019,Any Opioids,Locality,51161,Roanoke County,Alleghany,10,10.6,Roanoke County,37.2377673,-80.0759642
191,192,6/2/2025,2024^,Heroin,Locality,51105,Lee County,Lenowisco,0,0,Lee County,36.6841272,-83.0973211
192,193,6/2/2025,2019,Benzodiazepine,Locality,51683,Manassas City,Prince William,4,9.7,Manassas City,38.7615639,-77.6217121
193,194,6/2/2025,2019,Heroin,Locality,51173,Smyth County,Mount Rogers,0,0,Smyth County,36.8440149,-81.5418453
