_id,Data Extract Date,Overdose Death Year,Overdose Death Drug Class,Overdose Death Geography Level,Overdose Death FIPS,Overdose Death Geography Name,Overdose Death Health District,Overdose Death Count,"Overdose Death Rate per 100,000 Residents"
110,6/2/2025,2020,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51167,Russell County,Cumberland Plateau,1,3.8
111,6/2/2025,2019,Cocaine,Locality,51175,Southampton County,Western Tidewater,0,0
112,6/2/2025,2019,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51093,Isle of Wight County,Western Tidewater,5,13.5
113,6/2/2025,2019,Cocaine,Locality,51700,Newport News City,Peninsula,12,6.7
114,6/2/2025,2022,Benzodiazepine,Locality,51683,Manassas City,Prince William,0,0
115,6/2/2025,2019,All-Drug,Locality,51081,Greensville County,Crater,1,8.8
116,6/2/2025,2024^,Cocaine,Locality,51157,Rappahannock County,Rappahannock/Rapidan,0,0
117,6/2/2025,2019,Cocaine,Locality,51107,Loudoun County,Loudoun,6,1.5
118,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51009,Amherst County,Central Virginia,0,0
119,6/2/2025,2019,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51111,Lunenburg County,Piedmont,0,0
120,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51003,Albemarle County,Blue Ridge,1,0.9
121,6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51081,Greensville County,Crater,3,26.6
122,6/2/2025,2022,Heroin,Locality,51173,Smyth County,Mount Rogers,0,0
123,6/2/2025,2023,Benzodiazepine,Locality,51071,Giles County,New River,0,0
124,6/2/2025,2025†,Benzodiazepine,Locality,51183,Sussex County,Crater,0,0
125,6/2/2025,2024^,Any Opioids,Locality,51043,Clarke County,Lord Fairfax,0,0
126,6/2/2025,2021,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51035,Carroll County,Mount Rogers,1,3.3
127,6/2/2025,2023,Cocaine,Locality,51091,Highland County,Central Shenandoah,0,0
128,6/2/2025,2021,All-Drug,Locality,51007,Amelia County,Piedmont,3,23.1
129,6/2/2025,2019,All-Drug,Locality,51700,Newport News City,Peninsula,39,21.8
130,6/2/2025,2021,Cocaine,Locality,51057,Essex County,Three Rivers,1,9.1
131,6/2/2025,2021,Any Opioids,Locality,51610,Falls Church City,Fairfax,3,20.5
132,6/2/2025,2020,Any Opioids,Locality,51177,Spotsylvania County,Rappahannock,52,37.6
133,6/2/2025,2021,Heroin,Locality,51185,Tazewell County,Cumberland Plateau,1,2.5
134,6/2/2025,2024^,Psychostimulant,Locality,51073,Gloucester County,Three Rivers,3,8
135,6/2/2025,2020,Methadone,Locality,51710,Norfolk City,Norfolk City,5,2.1
136,6/2/2025,2024^,Any Opioids,Locality,51013,Arlington County,Arlington,12,5
137,6/2/2025,2023,All-Drug,Locality,51091,Highland County,Central Shenandoah,0,0
138,6/2/2025,2024^,Heroin,Locality,51037,Charlotte County,Piedmont,0,0
139,6/2/2025,2022,Any Opioids,Locality,51161,Roanoke County,Alleghany,22,23.3
140,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51790,Staunton City,Central Shenandoah,2,7.9
141,6/2/2025,2025†,Methadone,Locality,51181,Surry County,Crater,0,0
142,6/2/2025,2025†,All-Drug,Locality,51670,Hopewell City,Crater,0,0
143,6/2/2025,2023,Fentanyl and Other Synthetic Opioids,Locality,51175,Southampton County,Western Tidewater,1,5.7
144,6/2/2025,2023,Benzodiazepine,Locality,51067,Franklin County,West Piedmont,1,1.8
145,6/2/2025,2024^,Methadone,Locality,51630,Fredericksburg City,Rappahannock,0,0
146,6/2/2025,2021,Natural and Semi-Synthetic Opioids,Locality,51103,Lancaster County,Three Rivers,0,0
147,6/2/2025,2023,Any Opioids,Locality,51720,Norton City,Lenowisco,1,25.1
148,6/2/2025,2019,Methadone,Locality,51685,Manassas Park City,Prince William,0,0
149,6/2/2025,2025†,Psychostimulant,Locality,51059,Fairfax County,Fairfax,0,0
150,6/2/2025,2023,Any Opioids,Locality,51550,Chesapeake City,Chesapeake,64,25.9
151,6/2/2025,2022,Fentanyl and Other Synthetic Opioids,Locality,51073,Gloucester County,Three Rivers,12,32
152,6/2/2025,2024^,Heroin,Locality,51580,Covington City,Alleghany,0,0
153,6/2/2025,2021,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51183,Sussex County,Crater,3,27.5
154,6/2/2025,2021,Natural and Semi-Synthetic Opioids,Locality,51061,Fauquier County,Rappahannock/Rapidan,0,0
155,6/2/2025,2020,Methadone,Locality,51163,Rockbridge County,Central Shenandoah,0,0
156,6/2/2025,2025†,Natural and Semi-Synthetic Opioids,Locality,51007,Amelia County,Piedmont,0,0
157,6/2/2025,2020,Any Opioids,Locality,51093,Isle of Wight County,Western Tidewater,5,13.3
158,6/2/2025,2024^,All-Drug,Locality,51051,Dickenson County,Cumberland Plateau,8,56.8
159,6/2/2025,2025†,Heroin,Locality,51640,Galax City,Mount Rogers,0,0
160,6/2/2025,2023,Psychostimulant,Locality,51187,Warren County,Lord Fairfax,3,7.4
161,6/2/2025,2023,Heroin,Locality,51121,Montgomery County,New River,2,2
162,6/2/2025,2025†,Psychostimulant,Locality,51700,Newport News City,Peninsula,0,0
163,6/2/2025,2020,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51041,Chesterfield County,Chesterfield,18,5
164,6/2/2025,2022,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51115,Mathews County,Three Rivers,4,45.6
165,6/2/2025,2024^,Cocaine,Locality,51051,Dickenson County,Cumberland Plateau,0,0
166,6/2/2025,2021,Benzodiazepine,Locality,51119,Middlesex County,Three Rivers,0,0
167,6/2/2025,2024^,Natural and Semi-Synthetic Opioids,Locality,51171,Shenandoah County,Lord Fairfax,3,6.8
168,6/2/2025,2025†,Any Opioids,Locality,51159,Richmond County,Three Rivers,0,0
169,6/2/2025,2019,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51023,Botetourt County,Alleghany,1,3
170,6/2/2025,2023,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51650,Hampton City,Hampton,3,2.2
171,6/2/2025,2020,Heroin,Locality,51033,Caroline County,Rappahannock,3,9.7
172,6/2/2025,2023,Psychostimulant,Locality,51011,Appomattox County,Central Virginia,1,6.2
173,6/2/2025,2022,Psychostimulant,Locality,51680,Lynchburg City,Central Virginia,5,6.1
174,6/2/2025,2019,Any Opioids,Locality,51670,Hopewell City,Crater,9,39.9
175,6/2/2025,2022,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51093,Isle of Wight County,Western Tidewater,12,31.8
176,6/2/2025,2022,Cocaine,Locality,51700,Newport News City,Peninsula,40,22.3
177,6/2/2025,2023,Psychostimulant,Locality,51051,Dickenson County,Cumberland Plateau,2,14.2
178,6/2/2025,2023,Benzodiazepine,Locality,51740,Portsmouth City,Portsmouth,1,1.1
179,6/2/2025,2021,Psychostimulant,Locality,51600,Fairfax City,Fairfax,0,0
180,6/2/2025,2024^,All-Drug,Locality,51011,Appomattox County,Central Virginia,2,12.5
181,6/2/2025,2021,Any Opioids,Locality,51775,Salem City,Alleghany,6,23.7
182,6/2/2025,2024^,Cocaine,Locality,51011,Appomattox County,Central Virginia,0,0
183,6/2/2025,2022,All-Drug,Locality,51700,Newport News City,Peninsula,69,38.5
184,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51111,Lunenburg County,Piedmont,0,0
185,6/2/2025,2025†,Psychostimulant,Locality,51089,Henry County,West Piedmont,0,0
186,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51009,Amherst County,Central Virginia,0,0
187,6/2/2025,2022,All-Drug,Locality,51081,Greensville County,Crater,4,35.5
188,6/2/2025,2025†,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51147,Prince Edward County,Piedmont,0,0
189,6/2/2025,2024^,Fentanyl and Other Synthetic Opioids,Locality,51103,Lancaster County,Three Rivers,0,0
190,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51003,Albemarle County,Blue Ridge,0,0
191,6/2/2025,2019,Any Opioids,Locality,51161,Roanoke County,Alleghany,10,10.6
192,6/2/2025,2024^,Heroin,Locality,51105,Lee County,Lenowisco,0,0
193,6/2/2025,2019,Benzodiazepine,Locality,51683,Manassas City,Prince William,4,9.7
194,6/2/2025,2019,Heroin,Locality,51173,Smyth County,Mount Rogers,0,0
195,6/2/2025,2020,Methadone,Locality,51075,Goochland County,Chickahominy,3,12.3
196,6/2/2025,2022,Cocaine,Locality,51107,Loudoun County,Loudoun,10,2.4
197,6/2/2025,2025†,Methadone,Locality,51183,Sussex County,Crater,0,0
198,6/2/2025,2024^,Cocaine,Locality,51750,Radford City,New River,1,5.5
199,6/2/2025,2022,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51047,Culpeper County,Rappahannock/Rapidan,15,28
200,6/2/2025,2023,Fentanyl and Other Synthetic Opioids,Locality,51107,Loudoun County,Loudoun,23,5.4
201,6/2/2025,2021,Cocaine,Locality,51031,Campbell County,Central Virginia,0,0
202,6/2/2025,2020,Cocaine,Locality,51145,Powhatan County,Chesterfield,1,3.3
203,6/2/2025,2021,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51131,Northampton County,Eastern Shore,2,17.1
204,6/2/2025,2021,Any Opioids,Locality,51185,Tazewell County,Cumberland Plateau,26,64.2
205,6/2/2025,2019,Methadone,Locality,51085,Hanover County,Chickahominy,3,2.8
206,6/2/2025,2023,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51193,Westmoreland County,Three Rivers,1,5.5
207,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51670,Hopewell City,Crater,2,8.9
208,6/2/2025,2020,Benzodiazepine,Locality,51065,Fluvanna County,Blue Ridge,0,0
209,6/2/2025,2022,Methadone,Locality,51097,King and Queen County,Three Rivers,0,0
210,6/2/2025,2020,Methadone,Locality,51595,Emporia City,Crater,0,0
211,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51099,King George County,Rappahannock,2,7.3
212,6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51091,Highland County,Central Shenandoah,0,0
213,6/2/2025,2022,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51181,Surry County,Crater,2,31.3
214,6/2/2025,2023,Natural and Semi-Synthetic Opioids,Locality,51133,Northumberland County,Three Rivers,0,0
215,6/2/2025,2019,Any Opioids,Locality,51163,Rockbridge County,Central Shenandoah,1,4.4
216,6/2/2025,2019,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51193,Westmoreland County,Three Rivers,8,44.4
217,6/2/2025,2025†,Any Opioids,Locality,51007,Amelia County,Piedmont,0,0
218,6/2/2025,2019,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51520,Bristol City,Mount Rogers,1,6
219,6/2/2025,2020,Heroin,Locality,51177,Spotsylvania County,Rappahannock,14,10.1
220,6/2/2025,2019,Methadone,Locality,51093,Isle of Wight County,Western Tidewater,0,0
221,6/2/2025,2021,All-Drug,Locality,51550,Chesapeake City,Chesapeake,59,23.9
222,6/2/2025,2023,Methadone,Locality,51147,Prince Edward County,Piedmont,0,0
223,6/2/2025,2025†,Heroin,Locality,51049,Cumberland County,Piedmont,0,0
224,6/2/2025,2025†,Psychostimulant,Locality,51520,Bristol City,Mount Rogers,0,0
225,6/2/2025,2020,Natural and Semi-Synthetic Opioids,Locality,51043,Clarke County,Lord Fairfax,0,0
226,6/2/2025,2019,Fentanyl and Other Synthetic Opioids,Locality,51550,Chesapeake City,Chesapeake,25,10.2
227,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51185,Tazewell County,Cumberland Plateau,3,7.4
228,6/2/2025,2021,All-Drug,Locality,51720,Norton City,Lenowisco,3,75.3
229,6/2/2025,2019,Fentanyl and Other Synthetic Opioids,Locality,51720,Norton City,Lenowisco,1,25.1
230,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51590,Danville City,Pittsylvania/Danville,0,0
231,6/2/2025,2020,Natural and Semi-Synthetic Opioids,Locality,51013,Arlington County,Arlington,8,3.3
232,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51029,Buckingham County,Piedmont,0,0
233,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51139,Page County,Lord Fairfax,1,4.2
234,6/2/2025,2020,Any Opioids,Locality,51133,Northumberland County,Three Rivers,1,8.3
235,6/2/2025,2025†,Natural and Semi-Synthetic Opioids,Locality,51610,Falls Church City,Fairfax,0,0
236,6/2/2025,2020,Methadone,Locality,51199,York County,Peninsula,2,2.9
237,6/2/2025,2023,Heroin,Locality,51141,Patrick County,West Piedmont,0,0
238,6/2/2025,2023,Heroin,Locality,51069,Frederick County,Lord Fairfax,0,0
239,6/2/2025,2025†,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51091,Highland County,Central Shenandoah,0,0
240,6/2/2025,2025†,Benzodiazepine,Locality,51019,Bedford County,Central Virginia,0,0
241,6/2/2025,2021,Any Opioids,Locality,51570,Colonial Heights City,Chesterfield,13,75.6
242,6/2/2025,2023,Fentanyl and Other Synthetic Opioids,Locality,51037,Charlotte County,Piedmont,4,33.8
243,6/2/2025,2020,Natural and Semi-Synthetic Opioids,Locality,51999,Unknown,Unknown,0,N/A
244,6/2/2025,2025†,Psychostimulant,Locality,51109,Louisa County,Blue Ridge,0,0
245,6/2/2025,2025†,Methadone,Locality,51800,Suffolk City,Western Tidewater,0,0
246,6/2/2025,2019,Psychostimulant,Locality,51169,Scott County,Lenowisco,0,0
247,6/2/2025,2023,Methadone,Locality,51101,King William County,Three Rivers,0,0
248,6/2/2025,2022,All-Drug,Locality,51157,Rappahannock County,Rappahannock/Rapidan,4,55.1
249,6/2/2025,2021,Any Opioids,Locality,51760,Richmond City,Richmond City,180,77.5
250,6/2/2025,2023,Heroin,Locality,51045,Craig County,Alleghany,0,0
251,6/2/2025,2025†,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51700,Newport News City,Peninsula,0,0
252,6/2/2025,2019,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51011,Appomattox County,Central Virginia,0,0
253,6/2/2025,2023,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51011,Appomattox County,Central Virginia,2,12.5
254,6/2/2025,2025†,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51149,Prince George County,Crater,0,0
255,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51111,Lunenburg County,Piedmont,0,0
256,6/2/2025,2025†,Methadone,Locality,51015,Augusta County,Central Shenandoah,0,0
257,6/2/2025,2024^,Cocaine,Locality,51530,Buena Vista City,Central Shenandoah,0,0
258,6/2/2025,2022,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51033,Caroline County,Rappahannock,8,25.9
259,6/2/2025,2020,Heroin,Locality,51115,Mathews County,Three Rivers,0,0
260,6/2/2025,2024^,Any Opioids,Locality,51113,Madison County,Rappahannock/Rapidan,1,7.5
261,6/2/2025,2023,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51179,Stafford County,Rappahannock,4,2.6
262,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51025,Brunswick County,Southside,0,0
263,6/2/2025,2025†,Psychostimulant,Locality,51670,Hopewell City,Crater,0,0
264,6/2/2025,2020,Benzodiazepine,Locality,51135,Nottoway County,Piedmont,0,0
265,6/2/2025,2025†,Benzodiazepine,Locality,51085,Hanover County,Chickahominy,0,0
266,6/2/2025,2023,Benzodiazepine,Locality,51077,Grayson County,Mount Rogers,0,0
267,6/2/2025,2023,Methadone,Locality,51690,Martinsville City,West Piedmont,0,0
268,6/2/2025,2021,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51163,Rockbridge County,Central Shenandoah,0,0
269,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51031,Campbell County,Central Virginia,0,0
270,6/2/2025,2021,All-Drug,Locality,51017,Bath County,Central Shenandoah,0,0
271,6/2/2025,2021,Cocaine,Locality,51017,Bath County,Central Shenandoah,0,0
272,6/2/2025,2024^,All-Drug,Locality,51530,Buena Vista City,Central Shenandoah,1,15.6
273,6/2/2025,2021,Natural and Semi-Synthetic Opioids,Locality,51095,James City County,Peninsula,1,1.3
274,6/2/2025,2023,Psychostimulant,Locality,51590,Danville City,Pittsylvania/Danville,10,25.1
275,6/2/2025,2022,Cocaine,Locality,51183,Sussex County,Crater,0,0
